言いたいこと,意味グループ,サブグループ,見出し語,コア語義,活用・派生,コロケーション・句動詞,例文(EN),例文(JP),頻度ランク,レジスター,メモ
〜かもしれない（低い）,助動詞・法助動詞,可能性（低）,might,〜かもしれない,mayの過去/弱形,"might be, might as well",It might rain later.,あとで雨かも。,全体85,日常,mayより不確か
〜しなければ/〜に違いない,助動詞・法助動詞,義務・確信,must,〜しなければ、〜に違いない,must/mustn't,"must be, you must",You must be tired.,疲れているに違いない。,全体70,日常,強い義務・確信
〜しなければならない,助動詞・法助動詞,義務（外的）,have to,〜しなければならない,have/has/had to,"have to do, don't have to",I have to go now.,もう行かなきゃ。,全体65,日常,don't have to=しなくてよい
〜する予定だ,助動詞・法助動詞,予定・意図,be going to,〜する予定だ、〜しそうだ,am/is/are going to,"be going to do, gonna(口)",I'm going to study tonight.,今夜勉強するつもり。,全体75,日常,計画・予兆。口語gonna
何が/何を,疑問詞,物・事,what,何、どんな,—,"what time, what kind of, what about",What do you want?,何が欲しいの？,全体30,日常,What about…?=〜はどう？
誰が/誰を,疑問詞,人,who,誰,who/whom/whose,"who is, who knows",Who's there?,誰かいる？,全体60,日常,
どこで/どこに,疑問詞,場所,where,どこ,—,"where are you, where to",Where are you now?,今どこ？,全体65,日常,
いつ,疑問詞,時,when,いつ,—,"when is, since when",When can we meet?,いつ会える？,全体55,日常,
なぜ/どうして,疑問詞,理由,why,なぜ,—,"why not, that's why",Why not?,いいね（なぜだめ？）,全体70,日常,Why not?=そうしよう
どうやって/どのくらい,疑問詞,方法・程度,how,どうやって、どのくらい,—,"how much, how many, how about",How do I get there?,そこへどう行くの？,全体40,日常,how+形容詞=程度
どちら/どれ,疑問詞,選択,which,どちら、どの,—,"which one, which of",Which do you prefer?,どっちが好き？,全体90,日常,限られた選択肢から
誰の,疑問詞,所有,whose,誰の,—,whose is this,Whose bag is this?,これ誰のかばん？,全体100+,日常,所有を尋ねる
